File,NEF,TIFF,Date Created,Date Modified,File Size,Image Size,Date Shot,Time Zone and Date,Image Quality,Artist,Copyright,Image Comment,Device,Lens,Focal Length,Focus Mode,AF-Area Mode,VR,AF Fine Tune,Aperture,Shutter Speed,Exposure Mode,Exposure Comp.,Exposure Tuning,Metering,ISO Sensitivity,Flash Device,Flash Sync Mode,Flash Mode,White Balance,Color Space,High ISO NR,Long Exposure NR,Active D-Lighting,Image Authentication,Vignette Control,Auto Distortion Control,Picture Control,Base,Quick Adjust,Sharpening,Contrast,Brightness,Saturation,Hue,Filter Effects,Toning,Optimize Image,Color Mode,Tone Comp.,Hue Adjustment,Saturation,Sharpening,Latitude,Longitude,Altitude,Altitude Reference,Heading,UTC,Map Datum,Scene Mode,Keywords
r000da54ft,http://193.205.194.113/RAISE/NEF/r000da54ft.NEF,http://193.205.194.113/RAISE/TIFF/r000da54ft.TIF,9/20/2014 23:51,3/19/2012 9:14,9.79 MB,L (4288 x 2848),14:14.0,"UTC+1, DST:ON",Compressed RAW (12-bit),,,Foto Inhaber:     Ayad Abdelsame    ,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-C,Auto,ON,,f/5,1/640s,Aperture Priority,0EV,,Matrix,Auto (ISO 200),,,,"Auto, 0, 0",Adobe RGB,OFF,OFF,Low,,,,[SD] STANDARD,[SD] STANDARD,0,3,Active D-Lighting,Active D-Lighting,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r001d260dt,http://193.205.194.113/RAISE/NEF/r001d260dt.NEF,http://193.205.194.113/RAISE/TIFF/r001d260dt.TIF,9/21/2014 9:58,5/11/2013 6:45,20.0 MB,L (4928 x 3264),45:58.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,24mm,AF-A,Dynamic,ON,OFF,f/5,1/250s,,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,5,0,1,0,0,,,,,,,,,,,,,,,,Aperture Priority,buildings; outdoor
r002fc3e2t,http://193.205.194.113/RAISE/NEF/r002fc3e2t.NEF,http://193.205.194.113/RAISE/TIFF/r002fc3e2t.TIF,9/21/2014 3:29,5/4/2014 8:42,21.5 MB,L (4928 x 3264),42:11.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Dynamic,ON,OFF,f/4,1/3200s,Aperture Priority,0EV,,Matrix,ISO 500,,,,"Shade, B1, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,6,0,1,1,0,,,,,,,,,,,,,,,,,outdoor; people
r00444b95t,http://193.205.194.113/RAISE/NEF/r00444b95t.NEF,http://193.205.194.113/RAISE/TIFF/r00444b95t.TIF,9/21/2014 12:20,9/2/2013 11:02,19.8 MB,L (4928 x 3264),02:23.5,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Dynamic,ON,OFF,f/5.6,1/100s,,0EV,,Matrix,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,5,1,1,1,0,,,,,,,,,,,,,,,,Manual,buildings; outdoor
r005f3e70t,http://193.205.194.113/RAISE/NEF/r005f3e70t.NEF,http://193.205.194.113/RAISE/TIFF/r005f3e70t.TIF,9/20/2014 23:19,2/18/2012 12:08,10.6 MB,L (4288 x 2848),08:05.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-A,Auto,ON,,f/6.3,1/15s,Aperture Priority,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,-,8,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,buildings; outdoor
r00617aa1t,http://193.205.194.113/RAISE/NEF/r00617aa1t.NEF,http://193.205.194.113/RAISE/TIFF/r00617aa1t.TIF,9/20/2014 16:03,9/23/2011 21:19,18.7 MB,L (4928 x 3264),19:44.2,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,Manual,Single,ON,OFF,f/3.5,1/13s,Auto (Flash Off),0EV,,Matrix,Auto (ISO 1600),,,,"Auto1, 0, 0",sRGB,ON (Low),OFF,Auto,,,OFF,[SD] STANDARD,[SD] STANDARD,-,Auto,0,0,Auto,0,,,,,,,,,,,,,,,,,buildings; outdoor
r00679daet,http://193.205.194.113/RAISE/NEF/r00679daet.NEF,http://193.205.194.113/RAISE/TIFF/r00679daet.TIF,9/20/2014 17:19,8/21/2012 14:36,18.3 MB,L (4928 x 3264),36:56.8,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,170mm,AF-A,Auto,ON,OFF,f/5.6,1/1250s,Aperture Priority,0EV,,Matrix,ISO 400,,,,"Cloudy, A2, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,1,0,,,,,,,,,,,,,,,,,objects; outdoor
r006b0e4bt,http://193.205.194.113/RAISE/NEF/r006b0e4bt.NEF,http://193.205.194.113/RAISE/TIFF/r006b0e4bt.TIF,9/20/2014 22:57,2/17/2012 10:16,10.1 MB,L (4288 x 2848),16:17.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-A,Auto,ON,,f/3.5,1/25s,Aperture Priority,0EV,,Matrix,ISO 400,,,,"Cool-white fluorescent, A1, G1",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,-,8,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,Indoor
r006fcc20t,http://193.205.194.113/RAISE/NEF/r006fcc20t.NEF,http://193.205.194.113/RAISE/TIFF/r006fcc20t.TIF,9/21/2014 12:35,9/22/2013 11:02,21.8 MB,L (4928 x 3264),02:21.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Dynamic,ON,OFF,f/13,1/160s,,0EV,,Matrix,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,5,1,1,1,0,,,,,,,,,,,,,,,,Aperture Priority,landscape; outdoor
r007f5116t,http://193.205.194.113/RAISE/NEF/r007f5116t.NEF,http://193.205.194.113/RAISE/TIFF/r007f5116t.TIF,9/21/2014 3:43,5/17/2014 11:36,18.5 MB,L (4928 x 3264),36:51.0,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,31mm,AF-C,Dynamic,ON,OFF,f/16,1/13s,Aperture Priority,0EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,6,0,1,1,1,,,,,,,,,,,,,,,,,buildings; outdoor
